,因子名称,Factor1,Factor2,Factor3,Factor4,Factor5
Population,Factor4,,,,-0.035651845974949255,
"Transport, storage and communication (ISIC I)",Factor4,,,,0.03152760295327231,
Exports of goods and services,Factor4,,,,0.02940082692823915,
Gross National Income(GNI) in USD,Factor4,,,,0.02629756222680687,
Imports of goods and services,Factor4,,,,-0.022410753776866847,
Manufacturing (ISIC D),Factor5,,,,,0.23783218904305006
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor5,,,,,0.23530079387915542
General government final consumption expenditure,Factor5,,,,,-0.1522346515094417
Household consumption expenditure (including Non-profit institutions serving households),Factor5,,,,,0.11998408861976309
Other Activities (ISIC J-P),Factor5,,,,,-0.11122280382195147
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor5,,,,,0.08631996127143936
Imports of goods and services,Factor5,,,,,0.08340707053443601
Construction (ISIC F),Factor5,,,,,0.06669841389568253
Per capita GNI,Factor5,,,,,-0.0609123394401597
Exports of goods and services,Factor5,,,,,0.053278938413583624
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor5,,,,,0.05185228925352111
Final consumption expenditure,Factor5,,,,,0.04238675348244587
"Transport, storage and communication (ISIC I)",Factor5,,,,,0.03702273038466719
Total Value Added,Factor5,,,,,0.03276230686669046
Gross National Income(GNI) in USD,Factor5,,,,,0.013177653662681898
Population,Factor5,,,,,-0.009582199458702067
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor5,,,,,0.0058492559379127364
Gross capital formation,Factor5,,,,,0.0015787730991959857
